match_id,match_number,stage,group,date,kickoff_local,kickoff_utc,timezone,venue,stadium,city,country,team_a,team_b,team_a_code,team_b_code,team_a_group_slot,team_b_group_slot,status,source
wc2026_m001,1,group_stage,A,2026-06-11,13:00,,,Mexico City Stadium,Mexico City Stadium,Mexico City,MEX,Mexico,South Africa,,,,,scheduled,fifa_schedule_api
wc2026_m002,2,group_stage,A,2026-06-11,20:00,,,Guadalajara Stadium,Guadalajara Stadium,Guadalajara,MEX,South Korea,Czechia,,,,,scheduled,fifa_schedule_api
wc2026_m003,3,group_stage,B,2026-06-12,15:00,,,Toronto Stadium,Toronto Stadium,Toronto,CAN,Canada,Bosnia and Herzegovina,,,,,scheduled,fifa_schedule_api
wc2026_m004,4,group_stage,D,2026-06-12,18:00,,,Los Angeles Stadium,Los Angeles Stadium,Los Angeles,USA,United States,Paraguay,,,,,scheduled,fifa_schedule_api
wc2026_m005,5,group_stage,C,2026-06-13,21:00,,,Boston Stadium,Boston Stadium,Boston,USA,Haiti,Scotland,,,,,scheduled,fifa_schedule_api
wc2026_m006,6,group_stage,D,2026-06-13,21:00,,,BC Place Vancouver,BC Place Vancouver,Vancouver,CAN,Australia,Turkey,,,,,scheduled,fifa_schedule_api
wc2026_m007,7,group_stage,C,2026-06-13,18:00,,,New York/New Jersey Stadium,New York/New Jersey Stadium,New Jersey,USA,Brazil,Morocco,,,,,scheduled,fifa_schedule_api
wc2026_m008,8,group_stage,B,2026-06-13,12:00,,,San Francisco Bay Area Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,Qatar,Switzerland,,,,,scheduled,fifa_schedule_api
wc2026_m009,9,group_stage,E,2026-06-14,19:00,,,Philadelphia Stadium,Philadelphia Stadium,Philadelphia,USA,Côte d'Ivoire,Ecuador,,,,,scheduled,fifa_schedule_api
wc2026_m010,10,group_stage,E,2026-06-14,12:00,,,Houston Stadium,Houston Stadium,Houston,USA,Germany,Curaçao,,,,,scheduled,fifa_schedule_api
wc2026_m011,11,group_stage,F,2026-06-14,15:00,,,Dallas Stadium,Dallas Stadium,Dallas,USA,Netherlands,Japan,,,,,scheduled,fifa_schedule_api
wc2026_m012,12,group_stage,F,2026-06-14,20:00,,,Monterrey Stadium,Monterrey Stadium,Monterrey,MEX,Sweden,Tunisia,,,,,scheduled,fifa_schedule_api
wc2026_m013,13,group_stage,H,2026-06-15,18:00,,,Miami Stadium,Miami Stadium,Miami,USA,Saudi Arabia,Uruguay,,,,,scheduled,fifa_schedule_api
wc2026_m014,14,group_stage,H,2026-06-15,12:00,,,Atlanta Stadium,Atlanta Stadium,Atlanta,USA,Spain,Cabo Verde,,,,,scheduled,fifa_schedule_api
wc2026_m015,15,group_stage,G,2026-06-15,18:00,,,Los Angeles Stadium,Los Angeles Stadium,Los Angeles,USA,Iran,New Zealand,,,,,scheduled,fifa_schedule_api
wc2026_m016,16,group_stage,G,2026-06-15,12:00,,,Seattle Stadium,Seattle Stadium,Seattle,USA,Belgium,Egypt,,,,,scheduled,fifa_schedule_api
wc2026_m017,17,group_stage,I,2026-06-16,15:00,,,New York/New Jersey Stadium,New York/New Jersey Stadium,New Jersey,USA,France,Senegal,,,,,scheduled,fifa_schedule_api
wc2026_m018,18,group_stage,I,2026-06-16,18:00,,,Boston Stadium,Boston Stadium,Boston,USA,Iraq,Norway,,,,,scheduled,fifa_schedule_api
wc2026_m019,19,group_stage,J,2026-06-16,20:00,,,Kansas City Stadium,Kansas City Stadium,Kansas City,USA,Argentina,Algeria,,,,,scheduled,fifa_schedule_api
wc2026_m020,20,group_stage,J,2026-06-16,21:00,,,San Francisco Bay Area Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,Austria,Jordan,,,,,scheduled,fifa_schedule_api
wc2026_m021,21,group_stage,L,2026-06-17,19:00,,,Toronto Stadium,Toronto Stadium,Toronto,CAN,Ghana,Panama,,,,,scheduled,fifa_schedule_api
wc2026_m022,22,group_stage,L,2026-06-17,15:00,,,Dallas Stadium,Dallas Stadium,Dallas,USA,England,Croatia,,,,,scheduled,fifa_schedule_api
wc2026_m023,23,group_stage,K,2026-06-17,12:00,,,Houston Stadium,Houston Stadium,Houston,USA,Portugal,Congo DR,,,,,scheduled,fifa_schedule_api
wc2026_m024,24,group_stage,K,2026-06-17,20:00,,,Mexico City Stadium,Mexico City Stadium,Mexico City,MEX,Uzbekistan,Colombia,,,,,scheduled,fifa_schedule_api
wc2026_m025,25,group_stage,A,2026-06-18,12:00,,,Atlanta Stadium,Atlanta Stadium,Atlanta,USA,Czechia,South Africa,,,,,scheduled,fifa_schedule_api
wc2026_m026,26,group_stage,B,2026-06-18,12:00,,,Los Angeles Stadium,Los Angeles Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,,,,,scheduled,fifa_schedule_api
wc2026_m027,27,group_stage,B,2026-06-18,15:00,,,BC Place Vancouver,BC Place Vancouver,Vancouver,CAN,Canada,Qatar,,,,,scheduled,fifa_schedule_api
wc2026_m028,28,group_stage,A,2026-06-18,19:00,,,Guadalajara Stadium,Guadalajara Stadium,Guadalajara,MEX,Mexico,South Korea,,,,,scheduled,fifa_schedule_api
wc2026_m029,29,group_stage,C,2026-06-19,20:30,,,Philadelphia Stadium,Philadelphia Stadium,Philadelphia,USA,Brazil,Haiti,,,,,scheduled,fifa_schedule_api
wc2026_m030,30,group_stage,C,2026-06-19,18:00,,,Boston Stadium,Boston Stadium,Boston,USA,Scotland,Morocco,,,,,scheduled,fifa_schedule_api
wc2026_m031,31,group_stage,D,2026-06-19,20:00,,,San Francisco Bay Area Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,Turkey,Paraguay,,,,,scheduled,fifa_schedule_api
wc2026_m032,32,group_stage,D,2026-06-19,12:00,,,Seattle Stadium,Seattle Stadium,Seattle,USA,United States,Australia,,,,,scheduled,fifa_schedule_api
wc2026_m033,33,group_stage,E,2026-06-20,16:00,,,Toronto Stadium,Toronto Stadium,Toronto,CAN,Germany,Côte d'Ivoire,,,,,scheduled,fifa_schedule_api
wc2026_m034,34,group_stage,E,2026-06-20,19:00,,,Kansas City Stadium,Kansas City Stadium,Kansas City,USA,Ecuador,Curaçao,,,,,scheduled,fifa_schedule_api
wc2026_m035,35,group_stage,F,2026-06-20,12:00,,,Houston Stadium,Houston Stadium,Houston,USA,Netherlands,Sweden,,,,,scheduled,fifa_schedule_api
wc2026_m036,36,group_stage,F,2026-06-20,22:00,,,Monterrey Stadium,Monterrey Stadium,Monterrey,MEX,Tunisia,Japan,,,,,scheduled,fifa_schedule_api
wc2026_m037,37,group_stage,H,2026-06-21,18:00,,,Miami Stadium,Miami Stadium,Miami,USA,Uruguay,Cabo Verde,,,,,scheduled,fifa_schedule_api
