group,slot,team,team_code,confederation,is_host,source,last_verified_at
A,1,Mexico,MEX,CONCACAF,1,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
A,2,South Africa,RSA,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
A,3,South Korea,KOR,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
A,4,Czechia,CZE,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
B,1,Canada,CAN,CONCACAF,1,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
B,2,Switzerland,SUI,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
B,3,Qatar,QAT,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
B,4,Bosnia and Herzegovina,BIH,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
C,1,United States,USA,CONCACAF,1,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
C,2,Japan,JPN,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
C,3,Nigeria,NGA,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
C,4,Serbia,SRB,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
D,1,Brazil,BRA,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
D,2,Croatia,CRO,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
D,3,Egypt,EGY,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
D,4,Australia,AUS,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
E,1,Argentina,ARG,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
E,2,Denmark,DEN,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
E,3,Ghana,GHA,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
E,4,Costa Rica,CRC,CONCACAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
F,1,France,FRA,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
F,2,Morocco,MAR,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
F,3,Ecuador,ECU,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
F,4,Poland,POL,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
G,1,England,ENG,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
G,2,Iran,IRN,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
G,3,Tunisia,TUN,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
G,4,Peru,PER,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
H,1,Spain,SPA,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
H,2,Cameroon,CAM,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
H,3,Uruguay,URU,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
H,4,Sweden,SWE,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
I,1,Germany,GER,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
I,2,Algeria,ALG,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
I,3,Colombia,COL,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
I,4,Scotland,SCO,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
J,1,Portugal,POR,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
J,2,Senegal,SEN,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
J,3,United Arab Emirates,UAE,AFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
J,4,Austria,AUT,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
K,1,Netherlands,NED,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
K,2,Côte d'Ivoire,CIV,CAF,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
K,3,Chile,CHI,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
K,4,Norway,NOR,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
L,1,Belgium,BEL,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
L,2,Turkey,TUR,UEFA,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
L,3,Paraguay,PAR,CONMEBOL,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
L,4,New Zealand,NZL,OFC,0,ai_prefilled_needs_verification,2026-06-10T14:20:04.809266+00:00
