player,team,base_player_rating,expected_minutes_share,goals_prior,assists_prior,chance_creation_prior,defensive_actions_prior,goalkeeper_actions_prior,discipline_risk,star_role_score,flair_score,notes
Kylian Mbappe,France,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Antoine Griezmann,France,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Eduardo Camavinga,France,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
William Saliba,France,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Mike Maignan,France,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Jude Bellingham,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Harry Kane,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Bukayo Saka,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Phil Foden,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Declan Rice,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Jordan Pickford,England,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Vinicius Junior,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Rodrygo,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Bruno Guimaraes,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Marquinhos,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Alisson Becker,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Lionel Messi,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Lautaro Martinez,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Julian Alvarez,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Alexis Mac Allister,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Cristian Romero,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Emiliano Martinez,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Lamine Yamal,Spain,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Nico Williams,Spain,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Rodri,Spain,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Pedri,Spain,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
Unai Simon,Spain,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge
