player,team,base_player_rating,expected_minutes_share,goals_prior,assists_prior,chance_creation_prior,defensive_actions_prior,goalkeeper_actions_prior,discipline_risk,star_role_score,flair_score,notes,source
MASTIL Melvin,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MANDI Aissa,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ABADA Achref,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TOUGAI Mohamed Amine,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BELAID Zineddine,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ZERROUKI Ramiz,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MAHREZ Riyad,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AOUAR Houssem,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GOUIRI Amine,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHAIBI Fares,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HADJ MOUSSA Anis,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BENBOUALI Nadhir,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HADJAM Jaouen,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BOUDAOUI Hicham,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AIT-NOURI Rayan,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BENBOT Oussama,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BELGHALI Ra,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AMOURA Mohamed,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BENTALEB Nabil,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BOULBINA Adil,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BENSEBAINI Ramy,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MAZA Ibrahim,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ZIDANE Luca,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TITRAOUI Yassine,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GHEDJEMIS Fares,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHERGUI Samir,Algeria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUSSO Juan,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BALERDI Leonardo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TAGLIAFICO Nicolas,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MONTIEL Gonzalo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PAREDES Leandro,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARTINEZ Lisandro,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE PAUL Rodrigo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BARCO Valentin,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALVAREZ Julian,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MESSI Lionel,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LO CELSO Giovani,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RULLI Geronimo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ROMERO Cristian,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PALACIOS Exequiel,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GONZALEZ Nico,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALMADA Thiago,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SIMEONE Giuliano,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PAZ Nico,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OTAMENDI Nicolas,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MAC ALLISTER Alexis,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LOPEZ Jose Manuel,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARTINEZ Lautaro,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARTINEZ Emiliano,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FERNANDEZ Enzo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MEDINA Facundo,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MOLINA Nahuel,Argentina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RYAN Mathew,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEGENEK Milos,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CIRCATI Alessandro,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ITALIANO Jacob,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BOS Jordan,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GERIA Jason,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LECKIE Mathew,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
METCALFE Connor,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TOURE Mohamed,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HRUSTIC Ajdin,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MABIL Awer,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
IZZO Paul,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ONEILL Aiden,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEVLIN Cameron,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
