dataset,change_type,key,column,old_value,new_value,message
teams,removed_row,,,,,Row '' will be removed
teams,added_row,Algeria,,,,Row 'Algeria' will be added
teams,added_row,Argentina,,,,Row 'Argentina' will be added
teams,added_row,Australia,,,,Row 'Australia' will be added
teams,added_row,Austria,,,,Row 'Austria' will be added
teams,added_row,Belgium,,,,Row 'Belgium' will be added
teams,added_row,Bosnia and Herzegovina,,,,Row 'Bosnia and Herzegovina' will be added
teams,added_row,Brazil,,,,Row 'Brazil' will be added
teams,added_row,Cameroon,,,,Row 'Cameroon' will be added
teams,added_row,Canada,,,,Row 'Canada' will be added
teams,added_row,Chile,,,,Row 'Chile' will be added
teams,added_row,Colombia,,,,Row 'Colombia' will be added
teams,added_row,Costa Rica,,,,Row 'Costa Rica' will be added
teams,added_row,Croatia,,,,Row 'Croatia' will be added
teams,added_row,Czechia,,,,Row 'Czechia' will be added
teams,added_row,Côte d'Ivoire,,,,Row 'Côte d'Ivoire' will be added
teams,added_row,Denmark,,,,Row 'Denmark' will be added
teams,added_row,Ecuador,,,,Row 'Ecuador' will be added
teams,added_row,Egypt,,,,Row 'Egypt' will be added
teams,added_row,England,,,,Row 'England' will be added
teams,added_row,France,,,,Row 'France' will be added
teams,added_row,Germany,,,,Row 'Germany' will be added
teams,added_row,Ghana,,,,Row 'Ghana' will be added
teams,added_row,Iran,,,,Row 'Iran' will be added
teams,added_row,Japan,,,,Row 'Japan' will be added
teams,added_row,Mexico,,,,Row 'Mexico' will be added
teams,added_row,Morocco,,,,Row 'Morocco' will be added
teams,added_row,Netherlands,,,,Row 'Netherlands' will be added
teams,added_row,New Zealand,,,,Row 'New Zealand' will be added
teams,added_row,Nigeria,,,,Row 'Nigeria' will be added
teams,added_row,Norway,,,,Row 'Norway' will be added
teams,added_row,Paraguay,,,,Row 'Paraguay' will be added
teams,added_row,Peru,,,,Row 'Peru' will be added
teams,added_row,Poland,,,,Row 'Poland' will be added
teams,added_row,Portugal,,,,Row 'Portugal' will be added
teams,added_row,Qatar,,,,Row 'Qatar' will be added
teams,added_row,Scotland,,,,Row 'Scotland' will be added
teams,added_row,Senegal,,,,Row 'Senegal' will be added
teams,added_row,Serbia,,,,Row 'Serbia' will be added
teams,added_row,South Africa,,,,Row 'South Africa' will be added
teams,added_row,South Korea,,,,Row 'South Korea' will be added
teams,added_row,Spain,,,,Row 'Spain' will be added
teams,added_row,Sweden,,,,Row 'Sweden' will be added
teams,added_row,Switzerland,,,,Row 'Switzerland' will be added
teams,added_row,Tunisia,,,,Row 'Tunisia' will be added
teams,added_row,Turkey,,,,Row 'Turkey' will be added
teams,added_row,United Arab Emirates,,,,Row 'United Arab Emirates' will be added
teams,added_row,United States,,,,Row 'United States' will be added
teams,added_row,Uruguay,,,,Row 'Uruguay' will be added
