team,attacking_style_score,discipline_score,entertainment_score_prior,fan_popularity_proxy,notes
Argentina,8.7,7.8,8.5,9.5,Editable sample team-award prior
Belgium,8.2,7.0,8.0,8.2,Editable sample team-award prior
Brazil,9.2,7.1,9.4,9.8,Editable sample team-award prior
Canada,7.8,7.5,7.9,7.4,Editable sample team-award prior
Croatia,7.5,8.1,7.2,7.6,Editable sample team-award prior
England,8.6,7.4,8.5,9.1,Editable sample team-award prior
France,8.8,7.3,8.7,9.2,Editable sample team-award prior
Germany,8.3,7.6,8.1,8.8,Editable sample team-award prior
Japan,7.6,8.2,7.5,7.3,Editable sample team-award prior
Mexico,7.9,7.2,7.8,8.0,Editable sample team-award prior
Morocco,7.4,8.4,7.6,7.7,Editable sample team-award prior
Netherlands,8.0,7.9,7.9,8.1,Editable sample team-award prior
Portugal,8.5,7.7,8.4,8.9,Editable sample team-award prior
South Korea,7.7,7.8,7.7,7.8,Editable sample team-award prior
Spain,8.9,8.0,8.8,9.0,Editable sample team-award prior
United States,8.0,7.6,8.1,8.4,Editable sample team-award prior
Uruguay,8.1,7.5,8.0,7.9,Editable sample team-award prior
